stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"1","STAZIONE CENTRALE","44.5057657540716","11.3431758861234","0",""
"2","STAZIONE CENTRALE","44.5051437387807","11.3425587570757","0",""
"3","STAZIONE CENTRALE","44.5054481242236","11.3437929450212","0",""
"4","STAZIONE CENTRALE","44.5050434605776","11.3431131337897","0",""
"5","STAZIONE CENTRALE","44.5056830840234","11.3436946425275","0",""
"6","STAZIONE CENTRALE","44.5049284438364","11.3437823251683","0",""
"7","STAZIONE CENTRALE","44.5057169730481","11.3428932332151","0",""
"8","STAZIONE CENTRALE","44.5048679385747","11.3446463347838","0",""
"9","STAZIONE CENTRALE","44.505355911506","11.3427482589637","0",""
"10","PORTA GALLIERA","44.504442805503","11.3463873021933","0",""
"11","PORTA GALLIERA","44.5044916053095","11.3472431107419","0",""
"12","BORGO","44.5027643481261","11.3511747845062","0",""
"13","BORGO","44.5030056467908","11.3512607573037","0",""
"14","PORTA MASCARELLA","44.5017753042119","11.3537357520579","0",""
"16","STAZIONE CENTRALE","44.5050055317498","11.3433710605056","0",""
"17","PORTA MASCARELLA","44.5017885975379","11.3545099054418","0",""
"18","PORTA SAN DONATO","44.4975665024616","11.3565222255276","0",""
"19","PORTA SAN DONATO","44.4991210806506","11.3566611395566","0",""
"20","PORTA SAN VITALE","44.4945177714622","11.3568875493628","0",""
"21","FILOPANTI","44.4954611840074","11.3570865662504","0",""
"22","PORTA MAGGIORE","44.4918803672872","11.3571268212073","0",""
"25","PORTA SAN VITALE","44.4928546744668","11.3573773853465","0",""
"26","CARDUCCI","44.486665196658","11.3577627166476","0",""
"27","PORTA MAGGIORE","44.4909643215097","11.3576349589959","0",""
"28","PORTA SANTO STEFANO","44.4846745334121","11.3552538496983","0",""
"29","CARDUCCI","44.4882289810779","11.357919276376","0",""
"30","GIARDINI MARGHERITA","44.4850051906145","11.3523975732665","0",""
"33","PORTA SANTO STEFANO","44.4849877115543","11.3571182063509","0",""
"34","PORTA CASTIGLIONE","44.4853735574837","11.3493187819457","0",""
"35","GIARDINI MARGHERITA","44.4847837336521","11.3523863168212","0",""
"36","PARCHEGGIO STAVECO","44.4860235980339","11.3438909409933","0",""
"37","PORTA CASTIGLIONE","44.4851154332401","11.3490113309456","0",""
"38","PORTA SAN MAMOLO","44.4870325609366","11.338261170979","0",""
"41","PARCHEGGIO STAVECO","44.4856700753936","11.3450227364912","0",""
"42","ALDINI","44.4885637050794","11.3342955906073","0",""
"43","PORTA SAN MAMOLO","44.486128195836","11.3408502190719","0",""
