P 1
P 2
P 3
P 4
P 5
P 9
P 10
P 11
L 1;2;2477
L 1;3;3134
L 1;4;2177
L 1;5;1689
L 1;9;4334
L 1;10;2430
L 1;11;2343
L 2;1;1489
L 2;3;2524
L 2;4;2475
L 2;5;2547
L 2;9;3454
L 2;10;3595
L 2;11;3419
L 3;1;2164
L 3;2;2264
L 3;4;2355
L 3;5;2049
L 3;9;3094
L 3;10;4247
L 3;11;2302
L 4;1;2748
L 4;2;3566
L 4;3;2783
L 4;5;2927
L 4;9;3955
L 4;10;4671
L 4;11;3731
L 5;1;2076
L 5;2;2059
L 5;3;1954
L 5;4;2300
L 5;9;3121
L 5;10;3411
L 5;11;2858
L 9;1;2915
L 9;2;2538
L 9;3;2135
L 9;4;2935
L 9;5;2769
L 9;10;2186
L 9;11;231
L 10;1;2241
L 10;2;2593
L 10;3;2672
L 10;4;1604
L 10;5;2036
L 10;9;3277
L 10;11;3158
L 11;1;2847
L 11;2;2617
L 11;3;2399
L 11;4;2452
L 11;5;2075
L 11;9;2331
L 11;10;4294967295
