P 1
P 2
P 3
P 4
P 5
P 6
P 7
P 8
P 9
P 10
P 11
P 12
L 1;2;2477
L 1;3;3134
L 1;4;2177
L 1;5;1689
L 1;6;2638
L 1;7;2103
L 1;8;4260
L 1;9;2288
L 1;10;4044
L 1;11;2289
L 1;12;3885
L 2;1;1981
L 2;3;2894
L 2;4;2137
L 2;5;1901
L 2;6;2511
L 2;7;1635
L 2;8;2382
L 2;9;3381
L 2;10;3416
L 2;11;3214
L 2;12;3180
L 3;1;2370
L 3;2;2185
L 3;4;2810
L 3;5;2135
L 3;6;2834
L 3;7;1826
L 3;8;2199
L 3;9;3187
L 3;10;3642
L 3;11;3342
L 3;12;4151
L 4;1;2606
L 4;2;2940
L 4;3;2317
L 4;5;3328
L 4;6;3011
L 4;7;2298
L 4;8;3020
L 4;9;4294967295
L 4;10;1932
L 4;11;4294967295
L 4;12;4294967295
L 5;1;2311
L 5;2;1526
L 5;3;2226
L 5;4;2451
L 5;6;2756
L 5;7;1895
L 5;8;2665
L 5;9;3041
L 5;10;2871
L 5;11;4294967295
L 5;12;2943
L 6;1;2153
L 6;2;2274
L 6;3;2136
L 6;4;1990
L 6;5;1662
L 6;7;3253
L 6;8;2859
L 6;9;2624
L 6;10;3212
L 6;11;3646
L 6;12;3077
L 7;1;2204
L 7;2;1654
L 7;3;2125
L 7;4;1395
L 7;5;1550
L 7;6;1823
L 7;8;4276
L 7;9;3678
L 7;10;3819
L 7;11;1923
L 7;12;2864
L 8;1;2156
L 8;2;1921
L 8;3;2147
L 8;4;1783
L 8;5;2527
L 8;6;2308
L 8;7;2486
L 8;9;2741
L 8;10;4547
L 8;11;3200
L 8;12;3604
L 9;1;2837
L 9;2;2323
L 9;3;2604
L 9;4;3091
L 9;5;2063
L 9;6;2223
L 9;7;2948
L 9;8;2491
L 9;10;2248
L 9;11;209
L 9;12;1443
L 10;1;2457
L 10;2;2410
L 10;3;2646
L 10;4;2193
L 10;5;2004
L 10;6;3114
L 10;7;1961
L 10;8;3791
L 10;9;3821
L 10;11;2094
L 10;12;2558
L 11;1;2832
L 11;2;2251
L 11;3;2349
L 11;4;2548
L 11;5;2614
L 11;6;4294967295
L 11;7;4294967295
L 11;8;2831
L 11;9;4294967295
L 11;10;1706
L 11;12;1860
L 12;1;1716
L 12;2;2720
L 12;3;2967
L 12;4;2495
L 12;5;2672
L 12;6;2697
L 12;7;1282
L 12;8;3422
L 12;9;3924
L 12;10;3473
L 12;11;2265
