P 1
P 2
P 3
P 4
P 5
P 6
P 9
P 10
P 11
P 12
L 1;2;2477
L 1;3;3134
L 1;4;2177
L 1;5;1689
L 1;6;2638
L 1;9;2458
L 1;10;2037
L 1;11;2512
L 1;12;4044
L 2;1;1699
L 2;3;2453
L 2;4;2232
L 2;5;2735
L 2;6;2108
L 2;9;2951
L 2;10;3506
L 2;11;2269
L 2;12;2779
L 3;1;2291
L 3;2;2192
L 3;4;1844
L 3;5;1682
L 3;6;1577
L 3;9;3290
L 3;10;4764
L 3;11;2874
L 3;12;3977
L 4;1;2841
L 4;2;2609
L 4;3;2574
L 4;5;2392
L 4;6;2614
L 4;9;4311
L 4;10;3214
L 4;11;3930
L 4;12;1724
L 5;1;2254
L 5;2;1869
L 5;3;1959
L 5;4;2274
L 5;6;2518
L 5;9;2240
L 5;10;2999
L 5;11;2512
L 5;12;3429
L 6;1;1911
L 6;2;2315
L 6;3;1949
L 6;4;2021
L 6;5;1675
L 6;9;3399
L 6;10;3196
L 6;11;3174
L 6;12;2907
L 9;1;2818
L 9;2;2450
L 9;3;2375
L 9;4;2463
L 9;5;2707
L 9;6;2913
L 9;10;1819
L 9;11;2429
L 9;12;4416
L 10;1;2362
L 10;2;2316
L 10;3;2479
L 10;4;1969
L 10;5;2425
L 10;6;2709
L 10;9;2544
L 10;11;2826
L 10;12;3268
L 11;1;2777
L 11;2;2373
L 11;3;2287
L 11;4;2761
L 11;5;4294967295
L 11;6;4294967295
L 11;9;798
L 11;10;3014
L 11;12;2996
L 12;1;2006
L 12;2;1112
L 12;3;2126
L 12;4;1716
L 12;5;2712
L 12;6;2816
L 12;9;1101
L 12;10;3156
L 12;11;4294967295
