P 1
P 2
P 3
P 4
P 5
P 6
P 7
L 1;2;1673
L 1;3;1648
L 1;4;1559
L 1;5;1683
L 1;6;2353
L 1;7;960
L 2;1;869
L 2;3;1441
L 2;4;1630
L 2;5;1120
L 2;6;1564
L 2;7;1161
L 3;1;1590
L 3;2;1465
L 3;4;1778
L 3;5;790
L 3;6;1155
L 3;7;1514
L 4;1;2122
L 4;2;1728
L 4;3;1434
L 4;5;1918
L 4;6;4294967295
L 4;7;2440
L 5;1;1312
L 5;2;1195
L 5;3;1392
L 5;4;1512
L 5;6;893
L 5;7;1079
L 6;1;1302
L 6;2;1178
L 6;3;1305
L 6;4;1380
L 6;5;666
L 6;7;1251
L 7;1;1489
L 7;2;948
L 7;3;4294967295
L 7;4;4294967295
L 7;5;4294967295
L 7;6;965
