P 1
P 2
P 3
P 4
P 5
P 6
P 7
P 8
L 1;2;1673
L 1;3;1648
L 1;4;1559
L 1;5;1683
L 1;6;2353
L 1;7;960
L 1;8;4294967295
L 2;1;1243
L 2;3;1162
L 2;4;1626
L 2;5;1609
L 2;6;1055
L 2;7;961
L 2;8;1068
L 3;1;1825
L 3;2;1021
L 3;4;1867
L 3;5;752
L 3;6;963
L 3;7;1489
L 3;8;1489
L 4;1;1749
L 4;2;1431
L 4;3;2605
L 4;5;1778
L 4;6;1781
L 4;7;2622
L 4;8;4294967295
L 5;1;1487
L 5;2;1129
L 5;3;1666
L 5;4;1528
L 5;6;862
L 5;7;1123
L 5;8;960
L 6;1;1428
L 6;2;1164
L 6;3;1290
L 6;4;1208
L 6;5;789
L 6;7;1068
L 6;8;1570
L 7;1;1732
L 7;2;1336
L 7;3;1165
L 7;4;1524
L 7;5;632
L 7;6;4294967295
L 7;8;954
L 8;1;1353
L 8;2;1074
L 8;3;1515
L 8;4;1303
L 8;5;1022
L 8;6;973
L 8;7;1591
